GR,s,h,rho,rho_scaled,window,mean,sd
100,0.05,0.5,1e-08,1e-06,0,2.8237363490673593e-05,2.5399790588090726e-05
100,0.05,0.5,1e-08,1e-06,20833,2.671886995784512e-05,2.4260221835116216e-05
100,0.05,0.5,1e-08,1e-06,41666,2.74410633266546e-05,2.637180787936008e-05
100,0.05,0.5,1e-08,1e-06,62500,2.5091180175770575e-05,2.4147969235438634e-05
100,0.05,0.5,1e-08,1e-06,83333,2.7013160486507534e-05,2.626024092991329e-05
100,0.05,0.5,1e-08,1e-06,104166,2.497860377239496e-05,2.3161428407985828e-05
100,0.05,0.5,1e-08,1e-06,125000,2.322979752039655e-05,2.2117042411907287e-05
100,0.05,0.5,1e-08,1e-06,145833,2.334751409806468e-05,2.18738357987605e-05
100,0.05,0.5,1e-08,1e-06,166666,2.4588672152725208e-05,2.4470226471680294e-05
100,0.05,0.5,1e-08,1e-06,187500,2.392821964299503e-05,2.518430526719319e-05
100,0.05,0.5,1e-08,1e-06,208333,2.4327018615906555e-05,2.473231913512876e-05
100,0.05,0.5,1e-08,1e-06,229166,2.3600946705278272e-05,2.3900023754939376e-05
100,0.05,0.5,1e-08,1e-06,250000,2.3394849514002126e-05,2.3544627602873832e-05
100,0.05,0.5,1e-08,1e-06,270833,2.421317403791608e-05,2.3544061152513117e-05
100,0.05,0.5,1e-08,1e-06,291666,2.1349295274478206e-05,2.083226243951925e-05
100,0.05,0.5,1e-08,1e-06,312500,2.260879004847504e-05,2.479230759838108e-05
100,0.05,0.5,1e-08,1e-06,333333,2.0235053371952164e-05,2.2448002557373044e-05
100,0.05,0.5,1e-08,1e-06,354166,1.9220128786457422e-05,2.2452521961665893e-05
100,0.05,0.5,1e-08,1e-06,375000,1.7843151775355743e-05,1.7970154061873023e-05
100,0.05,0.5,1e-08,1e-06,395833,1.6217851215906227e-05,2.014769832144439e-05
100,0.05,0.5,1e-08,1e-06,416666,1.4953900559895664e-05,1.9256245680162483e-05
100,0.05,0.5,1e-08,1e-06,437500,1.2001876258914967e-05,1.485357657058903e-05
100,0.05,0.5,1e-08,1e-06,458333,1.0924426223820382e-05,1.3742160207966466e-05
100,0.05,0.5,1e-08,1e-06,479166,8.348398425338076e-06,1.0237897353461439e-05
100,0.05,0.5,1e-08,1e-06,500000,6.866977091817943e-06,8.917903664436862e-06
100,0.05,0.5,1e-08,1e-06,520833,9.493796960234431e-06,1.3981911851077148e-05
100,0.05,0.5,1e-08,1e-06,541666,1.0473296543544985e-05,1.3010161588427605e-05
100,0.05,0.5,1e-08,1e-06,562500,1.1979586979785698e-05,1.6476438106009803e-05
100,0.05,0.5,1e-08,1e-06,583333,1.3355837705403903e-05,1.6736813418025763e-05
100,0.05,0.5,1e-08,1e-06,604166,1.4505025960550535e-05,1.780576097683658e-05
100,0.05,0.5,1e-08,1e-06,625000,1.6883185695953024e-05,1.841866561122788e-05
100,0.05,0.5,1e-08,1e-06,645833,1.5645366600581757e-05,1.7687933402720857e-05
100,0.05,0.5,1e-08,1e-06,666666,1.8672366174328794e-05,1.958835489606355e-05
100,0.05,0.5,1e-08,1e-06,687500,1.8890946185020735e-05,2.005571386873943e-05
100,0.05,0.5,1e-08,1e-06,708333,1.995243301046685e-05,2.0896872208109063e-05
100,0.05,0.5,1e-08,1e-06,729166,2.058128971451586e-05,2.1296002130793498e-05
100,0.05,0.5,1e-08,1e-06,750000,2.2408258006871594e-05,2.3053177330428114e-05
100,0.05,0.5,1e-08,1e-06,770833,2.1016515399521845e-05,2.2315896743289195e-05
100,0.05,0.5,1e-08,1e-06,791666,2.3051743209929187e-05,2.396876425739393e-05
100,0.05,0.5,1e-08,1e-06,812500,2.2261221382386207e-05,2.1608990263573958e-05
100,0.05,0.5,1e-08,1e-06,833333,2.309049408639567e-05,2.3760092157837286e-05
100,0.05,0.5,1e-08,1e-06,854166,2.4962625759151956e-05,2.402882998244266e-05
100,0.05,0.5,1e-08,1e-06,875000,2.4461583755964437e-05,2.478015808485445e-05
100,0.05,0.5,1e-08,1e-06,895833,2.533682115762529e-05,2.5393227914589934e-05
100,0.05,0.5,1e-08,1e-06,916666,2.5801841544287376e-05,2.5385370273688035e-05
100,0.05,0.5,1e-08,1e-06,937500,2.522250779913486e-05,2.5362174096530448e-05
100,0.05,0.5,1e-08,1e-06,958333,2.6053379291375115e-05,2.7098933341771688e-05
100,0.05,0.5,1e-08,1e-06,979166,2.5695107626297367e-05,2.4165174160335808e-05
100,0.05,0.5,1e-08,1e-06,1000000,2.6019857144325995e-05,2.4776270750779064e-05
100,0.05,0.5,1e-08,1e-06,chr2,3.0179765460569377e-05,8.688527303909984e-06
50,0.05,0.5,1e-08,5e-07,0,3.0608993122212806e-05,2.7629268707164534e-05
50,0.05,0.5,1e-08,5e-07,20833,2.72860400826624e-05,2.5415346761745267e-05
50,0.05,0.5,1e-08,5e-07,41666,2.7164280516023424e-05,2.6402405509972764e-05
50,0.05,0.5,1e-08,5e-07,62500,2.8660721627238403e-05,2.72080997474929e-05
50,0.05,0.5,1e-08,5e-07,83333,2.5551394328677285e-05,2.4997889199949737e-05
50,0.05,0.5,1e-08,5e-07,104166,2.828744898616997e-05,2.5590765038173034e-05
50,0.05,0.5,1e-08,5e-07,125000,2.8573347178376734e-05,2.7433008080122864e-05
50,0.05,0.5,1e-08,5e-07,145833,2.6768086975784236e-05,2.5524404539821904e-05
50,0.05,0.5,1e-08,5e-07,166666,2.536357618783056e-05,2.500607347433814e-05
50,0.05,0.5,1e-08,5e-07,187500,2.602038701325792e-05,2.4381006233521487e-05
50,0.05,0.5,1e-08,5e-07,208333,2.424317105536619e-05,2.4962706547327836e-05
50,0.05,0.5,1e-08,5e-07,229166,2.253162877822103e-05,2.1586935524535934e-05
50,0.05,0.5,1e-08,5e-07,250000,2.2528615203524874e-05,2.1972496415232613e-05
50,0.05,0.5,1e-08,5e-07,270833,2.2040223451221592e-05,2.2986012713319783e-05
50,0.05,0.5,1e-08,5e-07,291666,2.0905202236230184e-05,2.059463981318541e-05
50,0.05,0.5,1e-08,5e-07,312500,1.9585002854783778e-05,2.215348592287942e-05
50,0.05,0.5,1e-08,5e-07,333333,1.920202399010502e-05,2.0939622419630383e-05
50,0.05,0.5,1e-08,5e-07,354166,1.6589613890313004e-05,2.034528426276076e-05
50,0.05,0.5,1e-08,5e-07,375000,1.6883156090214346e-05,1.86645490308588e-05
50,0.05,0.5,1e-08,5e-07,395833,1.4995538137334517e-05,1.6577225804653737e-05
50,0.05,0.5,1e-08,5e-07,416666,1.436862563872605e-05,1.739980403248161e-05
50,0.05,0.5,1e-08,5e-07,437500,1.2137482121155686e-05,1.620925610383988e-05
50,0.05,0.5,1e-08,5e-07,458333,1.0894394664648535e-05,1.406912042682313e-05
