GR,s,h,rho,rho_scaled,window,mean,sd
100,0.05,0.5,"0,00000005","0,00000005",0,8.222666560780692e-06,1.1757949373920794e-05
100,0.05,0.5,"0,00000005","0,00000005",20833,8.81023110460188e-06,1.1321293273861909e-05
100,0.05,0.5,"0,00000005","0,00000005",41666,8.527502183421584e-06,1.3791866953792263e-05
100,0.05,0.5,"0,00000005","0,00000005",62500,8.413070396173358e-06,1.175143166340943e-05
100,0.05,0.5,"0,00000005","0,00000005",83333,8.712645808154311e-06,1.189501627801853e-05
100,0.05,0.5,"0,00000005","0,00000005",104166,8.962323236838115e-06,1.2176760311180983e-05
100,0.05,0.5,"0,00000005","0,00000005",125000,8.178077101533674e-06,1.131102602178961e-05
100,0.05,0.5,"0,00000005","0,00000005",145833,7.773925193788233e-06,9.523586244304183e-06
100,0.05,0.5,"0,00000005","0,00000005",166666,8.680270346483828e-06,1.1726241560944986e-05
100,0.05,0.5,"0,00000005","0,00000005",187500,7.744643683416072e-06,9.758921630005234e-06
100,0.05,0.5,"0,00000005","0,00000005",208333,7.542293347077807e-06,1.0383859929695162e-05
100,0.05,0.5,"0,00000005","0,00000005",229166,8.041534710219495e-06,1.0292470140306206e-05
100,0.05,0.5,"0,00000005","0,00000005",250000,6.794709483496609e-06,9.24706110293908e-06
100,0.05,0.5,"0,00000005","0,00000005",270833,7.8131695234124e-06,8.972197170895789e-06
100,0.05,0.5,"0,00000005","0,00000005",291666,7.020767639338766e-06,1.018742650563749e-05
100,0.05,0.5,"0,00000005","0,00000005",312500,7.809197225493696e-06,9.896013380620222e-06
100,0.05,0.5,"0,00000005","0,00000005",333333,7.12617910286592e-06,1.0769493003767155e-05
100,0.05,0.5,"0,00000005","0,00000005",354166,7.038650381770246e-06,9.856135676016537e-06
100,0.05,0.5,"0,00000005","0,00000005",375000,6.273174789440988e-06,7.81710510695003e-06
100,0.05,0.5,"0,00000005","0,00000005",395833,6.69713145139326e-06,8.113636271843742e-06
100,0.05,0.5,"0,00000005","0,00000005",416666,6.493730059829301e-06,8.14029095213826e-06
100,0.05,0.5,"0,00000005","0,00000005",437500,6.627011757697873e-06,8.280637901642645e-06
100,0.05,0.5,"0,00000005","0,00000005",458333,6.9091485350889664e-06,8.415503320511766e-06
100,0.05,0.5,"0,00000005","0,00000005",479166,6.71945527224322e-06,8.238219042989789e-06
100,0.05,0.5,"0,00000005","0,00000005",500000,6.861677664579364e-06,8.176883020184736e-06
100,0.05,0.5,"0,00000005","0,00000005",520833,6.633638833604481e-06,7.68904949014473e-06
100,0.05,0.5,"0,00000005","0,00000005",541666,6.972577003967096e-06,9.882273055154286e-06
100,0.05,0.5,"0,00000005","0,00000005",562500,6.5199718987506285e-06,8.112231836271417e-06
100,0.05,0.5,"0,00000005","0,00000005",583333,7.310469053635914e-06,8.320561876854307e-06
100,0.05,0.5,"0,00000005","0,00000005",604166,6.323029809019692e-06,7.827754976985432e-06
100,0.05,0.5,"0,00000005","0,00000005",625000,7.327484489702724e-06,9.230976148631295e-06
100,0.05,0.5,"0,00000005","0,00000005",645833,6.5783128655740314e-06,8.846254193431652e-06
100,0.05,0.5,"0,00000005","0,00000005",666666,7.051707152320475e-06,8.549651559691185e-06
100,0.05,0.5,"0,00000005","0,00000005",687500,7.038571429265083e-06,8.319505973992001e-06
100,0.05,0.5,"0,00000005","0,00000005",708333,7.561158061292895e-06,1.0328227992188242e-05
100,0.05,0.5,"0,00000005","0,00000005",729166,7.965651483643304e-06,9.271475333754713e-06
100,0.05,0.5,"0,00000005","0,00000005",750000,7.354287551863167e-06,9.440972706115664e-06
100,0.05,0.5,"0,00000005","0,00000005",770833,7.717745551795131e-06,9.977663600933687e-06
100,0.05,0.5,"0,00000005","0,00000005",791666,8.471944292406923e-06,1.3111105720007984e-05
100,0.05,0.5,"0,00000005","0,00000005",812500,7.757606697866301e-06,1.0227109005788805e-05
100,0.05,0.5,"0,00000005","0,00000005",833333,8.186323735723215e-06,1.190898243675338e-05
100,0.05,0.5,"0,00000005","0,00000005",854166,8.152971236800981e-06,1.0128595040017075e-05
100,0.05,0.5,"0,00000005","0,00000005",875000,7.593975612891453e-06,1.0571878082600193e-05
100,0.05,0.5,"0,00000005","0,00000005",895833,7.991533101759582e-06,9.919904276011299e-06
100,0.05,0.5,"0,00000005","0,00000005",916666,8.496241925887514e-06,1.041215528693671e-05
100,0.05,0.5,"0,00000005","0,00000005",937500,8.393657948953423e-06,1.0076422609167636e-05
100,0.05,0.5,"0,00000005","0,00000005",958333,9.078802854690468e-06,1.1910795414505787e-05
100,0.05,0.5,"0,00000005","0,00000005",979166,8.349518564005835e-06,1.169663478546468e-05
100,0.05,0.5,"0,00000005","0,00000005",1000000,9.144117291672357e-06,1.256595595259139e-05
100,0.05,0.5,"0,00000005","0,00000005",chr2,3.05298425997724e-05,1.4030472553288708e-05
50,0.05,0.5,"0,00000005","0,00000005",0,1.028240912405784e-05,1.3620759461313575e-05
50,0.05,0.5,"0,00000005","0,00000005",20833,1.0557805331315998e-05,1.469839788569589e-05
50,0.05,0.5,"0,00000005","0,00000005",41666,9.780251452754594e-06,1.3512115216554393e-05
50,0.05,0.5,"0,00000005","0,00000005",62500,1.0451179973021155e-05,1.2909300113123363e-05
50,0.05,0.5,"0,00000005","0,00000005",83333,9.19061934020331e-06,1.2624863428545094e-05
50,0.05,0.5,"0,00000005","0,00000005",104166,9.909555918172989e-06,1.4375688635349135e-05
50,0.05,0.5,"0,00000005","0,00000005",125000,8.52406456759186e-06,1.1497944427680668e-05
50,0.05,0.5,"0,00000005","0,00000005",145833,9.820946534662065e-06,1.3853539476404446e-05
50,0.05,0.5,"0,00000005","0,00000005",166666,9.650280825573408e-06,1.4247522762296934e-05
