GR,s,h,rho,rho_scaled,window,rep,pi,t
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,1,3.1486180904522614e-05,2500
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,2,2.777256281407036e-05,2433
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,3,3.497326633165828e-05,2495
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,4,2.5678492462311585e-05,2459
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,5,3.492899497487434e-05,2285
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,6,4.0003768844221086e-05,2655
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,7,2.921974874371863e-05,2319
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,8,2.6023366834170853e-05,2375
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,9,3.673221105527637e-05,2338
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,10,3.312949748743718e-05,2495
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,11,3.1686834170854266e-05,2446
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,12,3.266075376884424e-05,2418
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,13,2.918437185929648e-05,2411
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,14,3.2232613065326626e-05,2358
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,15,2.8529798994974872e-05,2446
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,16,4.4874623115577885e-05,2458
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,17,2.1961507537688443e-05,2286
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,18,3.283648241206031e-05,2466
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,19,2.5703417085427134e-05,2337
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,20,2.1177939698492475e-05,2327
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,21,2.995417085427135e-05,2356
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,22,3.231517587939701e-05,2376
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,23,1.735321608040201e-05,2464
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,24,3.200542713567841e-05,2442
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,25,4.11834170854271e-05,2437
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,26,3.903266331658286e-05,2465
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,27,2.74570351758794e-05,2466
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,28,2.6902412060301517e-05,2416
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,29,2.5235979899497483e-05,2432
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,30,3.132020100502516e-05,2624
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,31,1.3027085427135676e-05,2416
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,32,4.118095477386934e-05,2485
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,33,3.147633165829148e-05,2438
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,34,2.346442211055278e-05,2369
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,35,1.6098391959798986e-05,2361
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,36,2.5736030150753787e-05,2402
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,37,4.024678391959797e-05,2837
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,38,2.977507537688445e-05,2313
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,39,2.9877487437185936e-05,2556
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,40,3.455155778894472e-05,2502
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,41,2.885396984924627e-05,2503
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,42,3.212698492462315e-05,2473
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,43,2.2415577889447244e-05,2381
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,44,5.302266331658285e-05,2413
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,45,2.957492462311561e-05,2507
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,46,2.34089949748744e-05,2389
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,47,2.875844221105531e-05,2461
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,48,2.903065326633165e-05,2488
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,49,3.25998492462312e-05,2371
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,50,2.9178140703517614e-05,2449
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,51,3.208718592964824e-05,2376
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,52,2.595145728643216e-05,2365
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,53,2.7955577889447232e-05,2398
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,54,1.9917085427135674e-05,2270
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,55,2.5765879396984945e-05,2525
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,56,4.169643216080398e-05,2414
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,57,1.5297839195979888e-05,2438
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,58,1.9122160804020108e-05,2609
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,59,2.4286482412060285e-05,2319
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,60,2.9555075376884456e-05,2458
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,61,4.542603015075372e-05,2548
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,62,2.736879396984929e-05,2351
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,63,3.366402010050251e-05,2316
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,64,3.4201356783919615e-05,2435
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,65,2.9538341708542725e-05,2369
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,66,2.272492462311561e-05,2302
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,67,3.361477386934671e-05,2343
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,68,3.336075376884422e-05,2446
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,69,3.716618090452261e-05,2489
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,70,3.5535326633165845e-05,2394
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,71,3.514075376884421e-05,2332
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,72,3.405552763819096e-05,2454
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,73,2.313030150753769e-05,2437
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,74,2.3660502512562832e-05,2373
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,75,3.1872613065326656e-05,2419
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,76,4.85161809045226e-05,2482
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,77,3.914844221105523e-05,2512
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,78,1.556959798994973e-05,2490
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,79,3.499839195979899e-05,2362
100,0.05,0.5,5e-08,4.9999999999999996e-06,chr2,80,3.4806984924623086e-05,2365
