GR,s,h,rho,rho_scaled,window,rep,pi,t
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,1,1.7296733668341698e-05,2355
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,2,2.3613668341708547e-05,2426
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,3,1.247954773869345e-05,2371
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,4,3.754597989949749e-05,2518
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,5,2.6856733668341725e-05,2588
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,6,3.1765175879397e-05,2461
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,7,2.784708542713569e-05,2395
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,8,2.401969849246231e-05,2452
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,9,8.882211055276379e-06,2268
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,10,2.445844221105528e-05,2388
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,11,2.6244572864321604e-05,2353
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,12,2.8581909547738693e-05,2672
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,13,2.851060301507539e-05,2361
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,14,2.56391959798995e-05,2517
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,15,1.4907035175879384e-05,2277
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,16,3.3061859296482433e-05,2382
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,17,3.349170854271357e-05,2460
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,18,2.5986783919598e-05,2281
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,19,1.927834170854269e-05,2397
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,20,2.2611206030150732e-05,2393
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,21,3.388582914572866e-05,2507
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,22,3.4415025125628176e-05,2864
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,23,1.9340251256281413e-05,2414
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,24,3.0890804020100515e-05,2516
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,25,3.108130653266332e-05,2677
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,26,1.841743718592964e-05,2475
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,27,2.4707437185929676e-05,2359
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,28,3.357045226130657e-05,2342
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,29,2.0153165829145712e-05,2409
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,30,2.797296482412059e-05,2281
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,31,1.5199698492462303e-05,2400
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,32,3.8056180904522586e-05,2498
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,33,2.31402512562814e-05,2353
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,34,1.12061809045226e-05,2340
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,35,2.5324974874371872e-05,2531
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,36,2.146105527638189e-05,2394
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,37,1.822512562814071e-05,2393
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,38,3.894221105527639e-05,2577
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,39,2.333050251256283e-05,2371
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,40,2.8630000000000022e-05,2449
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,41,2.377829145728642e-05,2525
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,42,3.993989949748739e-05,2382
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,43,3.707532663316581e-05,2368
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,44,1.3066733668341704e-05,2230
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,45,2.789824120603017e-05,2500
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,46,1.4933015075376852e-05,2351
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,47,3.173733668341711e-05,2503
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,48,2.8439497487437178e-05,2473
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,49,2.0420201005025125e-05,2400
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,50,2.7920804020100525e-05,2593
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,51,2.2660251256281395e-05,2360
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,52,1.858939698492464e-05,2338
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,53,8.633015075376877e-06,2221
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,54,4.514748743718588e-05,2364
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,55,2.2738190954773872e-05,2482
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,56,3.295834170854272e-05,2578
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,57,2.1802010050251256e-05,2469
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,58,2.9270301507537703e-05,2411
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,59,1.2289949748743698e-05,2471
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,60,2.9013366834170853e-05,2497
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,61,1.9352562814070343e-05,2340
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,62,3.677145728643216e-05,2333
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,63,1.8812060301507537e-05,2248
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,64,2.495412060301508e-05,2374
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,65,2.1137587939698498e-05,2390
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,66,2.597798994974875e-05,2670
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,67,3.0194120603015085e-05,2433
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,68,3.201804020100505e-05,2332
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,69,3.089512562814072e-05,2313
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,70,3.0062914572864325e-05,2601
100,0.05,0.2,5e-08,4.9999999999999996e-06,chr2,71,2.14791959798995e-05,2377
